mouse,session,geno,trial,result,,
Mouse12,1,Last20,167,0,,
Mouse12,1,Last20,168,1,,
Mouse12,1,Last20,169,0,,
Mouse12,1,Last20,170,0,,
Mouse12,1,Last20,171,0,,
Mouse12,1,Last20,172,0,,
Mouse12,1,Last20,173,1,,
Mouse12,1,Last20,174,1,,
Mouse12,1,Last20,175,0,,
Mouse12,2,First20,1,1,,
Mouse12,2,First20,2,0,,
Mouse12,2,First20,3,0,,
Mouse12,2,First20,4,1,,
Mouse12,2,First20,5,0,,
Mouse12,2,First20,6,0,,
Mouse12,2,First20,7,1,,
Mouse12,2,First20,8,1,,
Mouse12,2,First20,9,0,,
Mouse12,2,First20,10,0,,
Mouse12,2,First20,11,1,,
Mouse12,2,First20,12,0,,
Mouse12,2,First20,13,1,,
Mouse12,2,First20,14,1,,
Mouse12,2,First20,15,0,,
Mouse12,2,First20,16,1,,
Mouse12,2,First20,17,1,,
Mouse12,2,First20,18,1,,
Mouse12,2,First20,19,1,,
Mouse12,2,First20,20,1,,
Mouse12,2,Last20,100,0,,
Mouse12,2,Last20,101,0,,
Mouse12,2,Last20,102,1,,
Mouse12,2,Last20,103,0,,
Mouse12,2,Last20,104,0,,
Mouse12,2,Last20,105,0,,
Mouse12,2,Last20,106,0,,
Mouse12,2,Last20,107,1,,
Mouse12,2,Last20,108,0,,
Mouse12,2,Last20,109,1,,
Mouse12,2,Last20,110,0,,
Mouse12,2,Last20,111,1,,
Mouse12,2,Last20,112,1,,
Mouse12,2,Last20,113,0,,
Mouse12,2,Last20,114,0,,
Mouse12,2,Last20,115,1,,
Mouse12,2,Last20,116,1,,
Mouse12,2,Last20,117,1,,
Mouse12,2,Last20,118,0,,
Mouse12,2,Last20,119,1,,
Mouse12,3,First20,1,1,,
Mouse12,3,First20,2,1,,
Mouse12,3,First20,3,0,,
Mouse12,3,First20,4,1,,
Mouse12,3,First20,5,1,,
Mouse12,3,First20,6,0,,
Mouse12,3,First20,7,0,,
Mouse12,3,First20,8,1,,
Mouse12,3,First20,9,1,,
Mouse12,3,First20,10,0,,
Mouse12,3,First20,11,0,,
Mouse12,3,First20,12,1,,
Mouse12,3,First20,13,1,,
Mouse12,3,First20,14,0,,
Mouse12,3,First20,15,1,,
Mouse12,3,First20,16,1,,
Mouse12,3,First20,17,1,,
Mouse12,3,First20,18,1,,
Mouse12,3,First20,19,1,,
Mouse12,3,First20,20,0,,
Mouse12,3,Last20,152,0,,
Mouse12,3,Last20,153,1,,
Mouse12,3,Last20,154,0,,
Mouse12,3,Last20,155,1,,
Mouse12,3,Last20,156,0,,
Mouse12,3,Last20,157,0,,
Mouse12,3,Last20,158,1,,
Mouse12,3,Last20,159,1,,
Mouse12,3,Last20,160,1,,
Mouse12,3,Last20,161,1,,
Mouse12,3,Last20,162,0,,
Mouse12,3,Last20,163,1,,
Mouse12,3,Last20,164,1,,
Mouse12,3,Last20,165,1,,
Mouse12,3,Last20,166,0,,
Mouse12,3,Last20,167,1,,
Mouse12,3,Last20,168,0,,
Mouse12,3,Last20,169,1,,
Mouse12,3,Last20,170,0,,
Mouse12,3,Last20,171,0,,
Mouse13,1,First20,1,1,,
Mouse13,1,First20,2,1,,
Mouse13,1,First20,3,1,,
Mouse13,1,First20,4,1,,
Mouse13,1,First20,5,0,,
Mouse13,1,First20,6,1,,
Mouse13,1,First20,7,0,,
Mouse13,1,First20,8,1,,
Mouse13,1,First20,9,0,,
Mouse13,1,First20,10,0,,
Mouse13,1,First20,11,0,,
Mouse13,1,First20,12,0,,
Mouse13,1,First20,13,1,,
Mouse13,1,First20,14,1,,
Mouse13,1,First20,15,1,,
Mouse13,1,First20,16,1,,
Mouse13,1,First20,17,1,,
Mouse13,1,First20,18,1,,
Mouse13,1,First20,19,1,,
Mouse13,1,First20,20,1,,
Mouse13,1,Last20,173,1,,
Mouse13,1,Last20,174,0,,
Mouse13,1,Last20,175,1,,
Mouse13,1,Last20,176,0,,
Mouse13,1,Last20,177,1,,
Mouse13,1,Last20,178,0,,
Mouse13,1,Last20,179,1,,
Mouse13,1,Last20,180,1,,
Mouse13,1,Last20,181,1,,
Mouse13,1,Last20,182,0,,
Mouse13,1,Last20,183,0,,
Mouse13,1,Last20,184,1,,
Mouse13,1,Last20,185,1,,
Mouse13,1,Last20,186,1,,
Mouse13,1,Last20,187,0,,
Mouse13,1,Last20,188,1,,
Mouse13,1,Last20,189,1,,
