mouse,session,geno,trial,result,,
Mouse6,1,Last20,262,0,,
Mouse6,1,Last20,263,0,,
Mouse6,1,Last20,264,0,,
Mouse6,1,Last20,265,0,,
Mouse6,1,Last20,266,0,,
Mouse6,1,Last20,267,1,,
Mouse6,1,Last20,268,0,,
Mouse6,1,Last20,269,1,,
Mouse6,1,Last20,270,1,,
Mouse6,1,Last20,271,1,,
Mouse6,1,Last20,272,1,,
Mouse6,1,Last20,273,0,,
Mouse6,1,Last20,274,1,,
Mouse6,2,First20,1,1,,
Mouse6,2,First20,2,1,,
Mouse6,2,First20,3,1,,
Mouse6,2,First20,4,0,,
Mouse6,2,First20,5,0,,
Mouse6,2,First20,6,1,,
Mouse6,2,First20,7,1,,
Mouse6,2,First20,8,1,,
Mouse6,2,First20,9,1,,
Mouse6,2,First20,10,1,,
Mouse6,2,First20,11,1,,
Mouse6,2,First20,12,1,,
Mouse6,2,First20,13,0,,
Mouse6,2,First20,14,1,,
Mouse6,2,First20,15,0,,
Mouse6,2,First20,16,1,,
Mouse6,2,First20,17,0,,
Mouse6,2,First20,18,0,,
Mouse6,2,First20,19,0,,
Mouse6,2,First20,20,0,,
Mouse6,2,Last20,233,0,,
Mouse6,2,Last20,234,0,,
Mouse6,2,Last20,235,0,,
Mouse6,2,Last20,236,0,,
Mouse6,2,Last20,237,1,,
Mouse6,2,Last20,238,0,,
Mouse6,2,Last20,239,0,,
Mouse6,2,Last20,240,1,,
Mouse6,2,Last20,241,1,,
Mouse6,2,Last20,242,1,,
Mouse6,2,Last20,243,0,,
Mouse6,2,Last20,244,1,,
Mouse6,2,Last20,245,1,,
Mouse6,2,Last20,246,1,,
Mouse6,2,Last20,247,1,,
Mouse6,2,Last20,248,0,,
Mouse6,2,Last20,249,0,,
Mouse6,2,Last20,250,1,,
Mouse6,2,Last20,251,0,,
Mouse6,2,Last20,252,0,,
Mouse6,3,First20,1,1,,
Mouse6,3,First20,2,1,,
Mouse6,3,First20,3,1,,
Mouse6,3,First20,4,0,,
Mouse6,3,First20,5,1,,
Mouse6,3,First20,6,1,,
Mouse6,3,First20,7,1,,
Mouse6,3,First20,8,1,,
Mouse6,3,First20,9,0,,
Mouse6,3,First20,10,0,,
Mouse6,3,First20,11,0,,
Mouse6,3,First20,12,0,,
Mouse6,3,First20,13,0,,
Mouse6,3,First20,14,1,,
Mouse6,3,First20,15,0,,
Mouse6,3,First20,16,1,,
Mouse6,3,First20,17,1,,
Mouse6,3,First20,18,0,,
Mouse6,3,First20,19,1,,
Mouse6,3,First20,20,0,,
Mouse6,3,Last20,253,1,,
Mouse6,3,Last20,254,1,,
Mouse6,3,Last20,255,1,,
Mouse6,3,Last20,256,1,,
Mouse6,3,Last20,257,0,,
Mouse6,3,Last20,258,0,,
Mouse6,3,Last20,259,0,,
Mouse6,3,Last20,260,0,,
Mouse6,3,Last20,261,0,,
Mouse6,3,Last20,262,0,,
Mouse6,3,Last20,263,0,,
Mouse6,3,Last20,264,0,,
Mouse6,3,Last20,265,0,,
Mouse6,3,Last20,266,1,,
Mouse6,3,Last20,267,1,,
Mouse6,3,Last20,268,1,,
Mouse6,3,Last20,269,1,,
Mouse6,3,Last20,270,0,,
Mouse6,3,Last20,271,1,,
Mouse6,3,Last20,272,1,,
Mouse7,1,First20,1,1,,
Mouse7,1,First20,2,0,,
Mouse7,1,First20,3,1,,
Mouse7,1,First20,4,0,,
Mouse7,1,First20,5,0,,
Mouse7,1,First20,6,0,,
Mouse7,1,First20,7,0,,
Mouse7,1,First20,8,0,,
Mouse7,1,First20,9,1,,
Mouse7,1,First20,10,1,,
Mouse7,1,First20,11,0,,
Mouse7,1,First20,12,1,,
Mouse7,1,First20,13,1,,
Mouse7,1,First20,14,1,,
Mouse7,1,First20,15,1,,
Mouse7,1,First20,16,1,,
Mouse7,1,First20,17,0,,
Mouse7,1,First20,18,1,,
Mouse7,1,First20,19,0,,
