mouse,session,trial,result
Mouse1,7,115,0
Mouse1,7,116,1
Mouse1,7,119,1
Mouse1,7,120,1
Mouse1,7,122,1
Mouse1,7,123,1
Mouse1,7,126,0
Mouse1,7,129,1
Mouse1,7,130,1
Mouse1,8,2,1
Mouse1,8,3,0
Mouse1,8,5,0
Mouse1,8,6,1
Mouse1,8,8,1
Mouse1,8,11,0
Mouse1,8,14,1
Mouse1,8,17,1
Mouse1,8,18,1
Mouse1,8,21,1
Mouse1,8,22,1
Mouse1,8,25,0
Mouse1,8,26,0
Mouse1,8,28,1
Mouse1,8,29,0
Mouse1,8,31,1
Mouse1,8,34,0
Mouse1,8,36,0
Mouse1,8,37,1
Mouse1,8,40,0
Mouse1,8,42,0
Mouse1,8,43,0
Mouse1,8,45,0
Mouse1,8,48,0
Mouse1,8,50,1
Mouse1,8,52,1
Mouse1,8,55,1
Mouse1,8,56,1
Mouse1,8,58,0
Mouse1,8,59,1
Mouse1,8,62,1
Mouse1,8,65,0
Mouse1,8,68,1
Mouse1,8,69,1
Mouse1,8,71,1
Mouse1,8,72,1
Mouse1,8,74,1
Mouse1,8,77,1
Mouse1,8,78,1
Mouse1,8,80,0
Mouse1,8,81,0
Mouse1,8,83,0
Mouse1,8,85,0
Mouse1,8,86,1
Mouse1,8,89,1
Mouse1,8,90,0
Mouse1,8,92,0
Mouse1,8,93,1
Mouse1,8,96,1
Mouse1,8,99,1
Mouse1,8,100,0
Mouse1,8,103,0
Mouse1,8,104,0
Mouse1,8,107,0
Mouse1,8,109,0
Mouse1,8,110,0
Mouse1,8,113,0
Mouse1,8,114,1
Mouse1,8,116,1
Mouse1,8,119,1
Mouse1,8,122,1
Mouse1,8,124,0
Mouse1,8,126,0
Mouse2,1,1,0
Mouse2,1,3,1
Mouse2,1,4,1
Mouse2,1,6,1
Mouse2,1,7,1
Mouse2,1,10,1
Mouse2,1,11,1
Mouse2,1,13,1
Mouse2,1,14,1
Mouse2,1,17,1
Mouse2,1,18,1
Mouse2,1,20,1
Mouse2,1,23,1
Mouse2,1,26,1
Mouse2,1,27,1
Mouse2,1,30,1
Mouse2,1,32,1
Mouse2,1,34,1
Mouse2,1,35,1
Mouse2,1,37,1
Mouse2,1,38,1
Mouse2,1,41,1
Mouse2,1,43,1
Mouse2,1,46,1
Mouse2,1,47,1
Mouse2,1,49,1
Mouse2,1,50,1
Mouse2,1,53,0
Mouse2,1,54,1
Mouse2,1,56,1
Mouse2,1,57,1
Mouse2,1,60,1
Mouse2,1,63,1
Mouse2,1,66,1
Mouse2,1,67,0
Mouse2,1,69,0
Mouse2,1,71,1
Mouse2,1,72,1
Mouse2,1,75,1
Mouse2,1,78,1
Mouse2,1,80,1
Mouse2,1,81,1
Mouse2,1,83,0
Mouse2,1,85,1
Mouse2,1,87,0
Mouse2,1,89,1
Mouse2,1,90,1
Mouse2,1,92,0
Mouse2,1,95,0
Mouse2,1,97,1
Mouse2,1,99,1
Mouse2,1,100,1
Mouse2,1,103,1
Mouse2,1,104,0
Mouse2,1,107,1
Mouse2,1,108,1
Mouse2,1,110,1
Mouse2,1,111,0
Mouse2,1,114,0
Mouse2,1,115,1
Mouse2,2,3,0
Mouse2,2,6,1
Mouse2,2,7,1
Mouse2,2,10,1
Mouse2,2,13,1
Mouse2,2,14,1
Mouse2,2,16,1
Mouse2,2,19,1
Mouse2,2,22,1
Mouse2,2,24,0
Mouse2,2,25,1
Mouse2,2,27,1
Mouse2,2,28,0
Mouse2,2,31,1
Mouse2,2,32,1
Mouse2,2,34,1
Mouse2,2,35,1
Mouse2,2,37,1
Mouse2,2,40,1
Mouse2,2,41,1
Mouse2,2,44,1
Mouse2,2,45,1
Mouse2,2,47,1
Mouse2,2,48,0
Mouse2,2,51,1
Mouse2,2,52,1
Mouse2,2,54,1
Mouse2,2,56,0
Mouse2,2,59,1
Mouse2,2,61,1
Mouse2,2,62,0
Mouse2,2,65,1
Mouse2,2,68,1
Mouse2,2,69,0
Mouse2,2,72,1
Mouse2,2,73,1
Mouse2,2,76,1
Mouse2,2,77,1
Mouse2,2,79,1
Mouse2,2,81,0
Mouse2,2,84,1
Mouse2,2,86,1
Mouse2,2,88,1
Mouse2,2,89,0
Mouse2,2,91,1
Mouse2,2,93,0
Mouse2,2,95,1
Mouse2,2,96,1
Mouse2,2,98,0
Mouse2,2,101,0
Mouse2,2,103,1
Mouse2,2,105,1
Mouse2,2,108,0
Mouse2,2,110,1
Mouse2,3,2,1
Mouse2,3,4,1
Mouse2,3,5,1
Mouse2,3,8,1
Mouse2,3,9,1
Mouse2,3,11,1
Mouse2,3,12,0
Mouse2,3,15,1
Mouse2,3,18,0
Mouse2,3,21,1
Mouse2,3,23,1
Mouse2,3,26,0
Mouse2,3,28,1
Mouse2,3,29,1
Mouse2,3,32,0
Mouse2,3,35,0
Mouse2,3,37,1
Mouse2,3,38,1
Mouse2,3,40,1
Mouse2,3,41,1
Mouse2,3,43,1
Mouse2,3,44,1
Mouse2,3,46,1
Mouse2,3,48,1
Mouse2,3,50,0
Mouse2,3,53,1
Mouse2,3,54,0
Mouse2,3,56,1
Mouse2,3,57,0
Mouse2,3,60,1
Mouse2,3,62,0
Mouse2,3,63,1
Mouse2,3,66,1
Mouse2,3,67,1
Mouse2,3,69,1
Mouse2,3,71,1
Mouse2,3,72,1
Mouse2,3,75,1
Mouse2,3,76,1
Mouse2,3,78,0
Mouse2,3,79,1
Mouse2,3,81,1
Mouse2,3,84,1
Mouse2,3,86,0
Mouse2,3,88,0
Mouse2,3,89,1
Mouse2,3,91,1
Mouse2,3,92,1
Mouse2,3,94,1
Mouse2,3,95,1
Mouse2,3,97,1
Mouse2,3,98,1
Mouse2,3,100,1
Mouse2,3,101,1
Mouse2,3,104,1
Mouse2,3,107,0
Mouse2,3,108,1
Mouse2,3,110,1
Mouse2,3,111,1
Mouse2,4,1,1
Mouse2,4,3,1
Mouse2,4,4,0
Mouse2,4,7,1
Mouse2,4,9,1
Mouse2,4,10,1
Mouse2,4,12,1
Mouse2,4,15,1
Mouse2,4,16,1
Mouse2,4,19,1
Mouse2,4,22,1
Mouse2,4,23,0
Mouse2,4,26,0
Mouse2,4,27,0
Mouse2,4,29,1
Mouse2,4,30,0
Mouse2,4,32,1
Mouse2,4,33,1
Mouse2,4,36,1
Mouse2,4,37,0
Mouse2,4,39,1
Mouse2,4,40,1
Mouse2,4,42,1
Mouse2,4,43,0
Mouse2,4,46,1
Mouse2,4,47,0
Mouse2,4,50,0
Mouse2,4,52,1
Mouse2,4,53,1
Mouse2,4,56,0
Mouse2,4,57,1
Mouse2,4,60,1
Mouse2,4,61,1
Mouse2,4,63,1
Mouse2,4,66,1
Mouse2,4,67,1
Mouse2,4,69,1
Mouse2,4,71,1
Mouse2,4,72,1
Mouse2,4,75,0
Mouse2,4,76,1
Mouse2,4,79,1
Mouse2,4,81,1
Mouse2,4,83,1
Mouse2,4,84,1
Mouse2,4,86,1
Mouse2,4,87,1
Mouse2,4,89,1
Mouse2,4,90,1
Mouse2,4,92,1
Mouse2,4,94,1
Mouse2,4,96,1
Mouse2,4,99,0
Mouse2,4,101,1
Mouse2,4,102,0
Mouse2,4,104,1
Mouse2,4,106,0
Mouse2,4,107,1
Mouse2,4,109,1
Mouse2,4,110,0
Mouse2,4,112,1
Mouse2,4,114,0
Mouse2,4,115,1
Mouse2,4,118,1
Mouse2,4,119,1
Mouse2,4,122,1
Mouse2,5,1,0
Mouse2,5,3,0
Mouse2,5,4,1
Mouse2,5,7,1
Mouse2,5,10,1
Mouse2,5,11,0
Mouse2,5,13,1
Mouse2,5,14,0
Mouse2,5,16,1
Mouse2,5,17,1
Mouse2,5,19,0
Mouse2,5,22,1
Mouse2,5,23,1
Mouse2,5,26,1
Mouse2,5,28,1
Mouse2,5,29,1
Mouse2,5,32,0
Mouse2,5,33,1
Mouse2,5,35,1
Mouse2,5,36,1
Mouse2,5,39,1
Mouse2,5,40,1
Mouse2,5,43,0
Mouse2,5,46,1
Mouse2,5,48,1
Mouse2,5,51,1
Mouse2,5,52,1
Mouse2,5,55,0
Mouse2,5,57,1
Mouse2,5,58,1
Mouse2,5,60,0
Mouse2,5,63,0
Mouse2,5,65,0
Mouse2,5,66,1
Mouse2,5,68,1
Mouse2,5,71,1
Mouse2,5,72,1
Mouse2,5,74,1
Mouse2,5,77,0
Mouse2,5,78,0
Mouse2,5,81,1
Mouse2,5,83,0
Mouse2,5,86,1
Mouse2,5,87,1
Mouse2,5,89,1
Mouse2,5,92,1
Mouse2,5,95,0
Mouse2,5,96,1
Mouse2,5,99,0
Mouse2,5,100,1
Mouse2,5,102,1
Mouse2,5,103,1
Mouse2,5,106,1
Mouse2,5,108,0
Mouse2,5,109,1
Mouse2,5,112,0
Mouse2,5,114,1
Mouse2,5,116,1
Mouse2,5,117,1
Mouse2,5,120,0
Mouse2,5,123,0
Mouse2,5,124,1
Mouse2,5,126,1
Mouse2,6,1,0
Mouse2,6,4,1
Mouse2,6,7,1
Mouse2,6,10,1
Mouse2,6,11,0
Mouse2,6,14,0
Mouse2,6,17,0
Mouse2,6,20,1
Mouse2,6,21,1
Mouse2,6,23,0
Mouse2,6,24,1
Mouse2,6,27,1
Mouse2,6,30,1
Mouse2,6,31,0
Mouse2,6,33,0
Mouse2,6,34,1
Mouse2,6,36,1
Mouse2,6,37,1
Mouse2,6,39,1
Mouse2,6,40,0
Mouse2,6,42,0
Mouse2,6,45,0
Mouse2,6,48,0
Mouse2,6,49,0
Mouse2,6,52,1
Mouse2,6,55,0
Mouse2,6,58,1
Mouse2,6,59,1
Mouse2,6,61,1
Mouse2,6,62,0
Mouse2,6,64,1
Mouse2,6,65,1
Mouse2,6,67,1
Mouse2,6,68,1
Mouse2,6,70,1
Mouse2,6,73,1
Mouse2,6,74,0
Mouse2,6,76,1
Mouse2,6,77,1
Mouse2,6,79,0
Mouse2,6,80,1
Mouse2,6,83,0
Mouse2,6,84,0
Mouse2,6,86,1
Mouse2,6,89,0
Mouse2,6,90,1
Mouse2,6,92,1
Mouse2,6,95,0
Mouse2,6,96,1
Mouse2,6,98,1
Mouse2,6,101,1
Mouse2,6,102,1
Mouse2,6,104,1
Mouse2,6,107,1
Mouse2,6,108,0
Mouse2,6,111,0
Mouse2,6,114,0
Mouse2,6,115,1
Mouse2,6,118,1
Mouse2,6,119,1
Mouse2,6,122,0
Mouse2,6,123,0
Mouse2,6,126,0
Mouse2,6,127,1
Mouse2,6,129,1
Mouse2,6,131,1
Mouse2,6,134,1
Mouse2,6,135,1
Mouse2,6,137,1
Mouse2,6,138,1
Mouse2,6,140,1
Mouse2,6,141,0
Mouse2,6,143,0
Mouse2,6,145,1
Mouse2,6,147,1
Mouse2,7,2,1
Mouse2,7,4,0
Mouse2,7,5,1
Mouse2,7,7,1
Mouse2,7,9,0
Mouse2,7,11,1
Mouse2,7,14,0
Mouse2,7,15,1
Mouse2,7,18,1
Mouse2,7,19,1
Mouse2,7,21,1
Mouse2,7,22,0
Mouse2,7,24,1
Mouse2,7,25,0
Mouse2,7,27,1
Mouse2,7,30,0
Mouse2,7,32,1
Mouse2,7,34,0
Mouse2,7,36,1
Mouse2,7,37,1
Mouse2,7,39,0
Mouse2,7,42,0
Mouse2,7,43,0
Mouse2,7,45,1
Mouse2,7,48,0
Mouse2,7,49,1
Mouse2,7,51,0
Mouse2,7,53,0
Mouse2,7,54,1
Mouse2,7,57,1
Mouse2,7,58,0
Mouse2,7,61,1
Mouse2,7,64,0
Mouse2,7,65,1
Mouse2,7,67,1
Mouse2,7,70,1
Mouse2,7,71,0
Mouse2,7,73,0
Mouse2,7,74,0
Mouse2,7,76,1
Mouse2,7,77,0
Mouse2,7,79,1
Mouse2,7,80,1
Mouse2,7,82,0
Mouse2,7,84,0
Mouse2,7,85,1
Mouse2,7,87,0
Mouse2,7,88,1
Mouse2,7,91,0
Mouse2,7,94,0
Mouse2,8,3,1
Mouse2,8,5,0
Mouse2,8,6,0
Mouse2,8,8,1
Mouse2,8,11,1
Mouse2,8,13,1
Mouse2,8,16,1
Mouse2,8,19,0
Mouse2,8,20,0
Mouse2,8,23,1
Mouse2,8,24,1
Mouse2,8,27,0
Mouse2,8,28,0
Mouse2,8,30,0
Mouse2,8,31,0
Mouse2,8,33,0
Mouse2,8,35,0
Mouse2,8,38,1
Mouse2,8,39,1
Mouse2,8,42,1
Mouse2,8,44,1
Mouse2,8,46,0
Mouse2,8,47,1
Mouse2,8,49,1
Mouse2,8,51,1
Mouse2,8,53,0
Mouse2,8,54,1
Mouse2,8,57,1
Mouse2,8,60,0
Mouse2,8,62,1
Mouse2,8,63,1
Mouse2,8,65,1
Mouse2,8,66,1
Mouse2,8,68,0
Mouse2,8,71,1
Mouse2,8,74,1
Mouse2,8,77,0
Mouse2,8,79,1
Mouse2,8,82,1
Mouse2,8,83,1
Mouse2,8,86,1
Mouse2,8,87,1
Mouse2,8,90,0
Mouse2,8,91,0
Mouse2,8,94,0
Mouse2,8,97,0
Mouse2,8,98,1
Mouse2,8,101,1
Mouse2,8,102,0
Mouse2,8,105,0
Mouse2,8,106,0
Mouse2,8,108,0
Mouse2,8,109,1
Mouse2,8,112,1
Mouse2,8,115,0
Mouse2,8,116,0
Mouse2,8,118,0
Mouse2,8,119,0
Mouse2,8,122,0
Mouse3,1,3,1
Mouse3,1,5,1
Mouse3,1,6,1
Mouse3,1,9,0
Mouse3,1,10,0
Mouse3,1,12,1
Mouse3,1,15,1
Mouse3,1,16,0
Mouse3,1,18,0
Mouse3,1,21,1
Mouse3,1,24,0
Mouse3,1,25,1
Mouse3,1,27,1
Mouse3,1,30,1
Mouse3,1,32,1
Mouse3,1,34,1
Mouse3,1,35,0
Mouse3,1,37,1
Mouse3,1,38,1
Mouse3,1,40,1
Mouse3,1,41,0
Mouse3,1,43,1
Mouse3,1,46,1
Mouse3,1,47,1
Mouse3,1,50,0
Mouse3,1,51,0
Mouse3,1,54,1
Mouse3,1,56,1
Mouse3,1,59,1
Mouse3,1,62,1
Mouse3,1,64,0
Mouse3,1,65,0
Mouse3,1,67,1
Mouse3,1,69,1
Mouse3,1,70,1
Mouse3,1,72,1
Mouse3,1,74,1
Mouse3,1,75,1
Mouse3,1,77,0
Mouse3,1,78,1
Mouse3,1,80,1
Mouse3,1,81,1
Mouse3,1,84,0
Mouse3,1,85,0
Mouse3,1,87,1
Mouse3,1,88,1
Mouse3,1,91,1
Mouse3,1,92,0
Mouse3,1,94,1
Mouse3,1,97,1
Mouse3,1,98,1
Mouse3,1,101,1
Mouse3,1,102,1
Mouse3,1,104,1
Mouse3,1,107,1
Mouse3,1,110,1
Mouse3,1,111,1
Mouse3,1,114,1
Mouse3,1,115,1
Mouse3,2,3,1
Mouse3,2,6,1
Mouse3,2,8,1
Mouse3,2,11,1
Mouse3,2,12,1
Mouse3,2,15,1
Mouse3,2,17,1
Mouse3,2,18,1
Mouse3,2,20,0
Mouse3,2,23,1
Mouse3,2,24,1
Mouse3,2,27,1
Mouse3,2,29,0
Mouse3,2,30,1
Mouse3,2,32,1
Mouse3,2,34,1
Mouse3,2,36,1
Mouse3,2,37,1
Mouse3,2,40,1
Mouse3,2,41,1
Mouse3,2,44,0
Mouse3,2,47,1
Mouse3,2,48,0
Mouse3,2,50,1
Mouse3,2,51,0
Mouse3,2,54,1
Mouse3,2,55,1
Mouse3,2,58,1
Mouse3,2,60,0
Mouse3,2,63,1
Mouse3,2,65,0
Mouse3,2,67,1
Mouse3,2,70,1
Mouse3,2,73,1
Mouse3,2,76,1
Mouse3,2,79,0
Mouse3,2,80,0
Mouse3,2,83,1
Mouse3,2,84,0
Mouse3,2,87,1
Mouse3,2,88,1
Mouse3,2,91,1
Mouse3,2,93,1
Mouse3,2,96,1
Mouse3,2,98,1
Mouse3,2,99,0
Mouse3,2,101,1
Mouse3,2,102,1
Mouse3,2,104,1
Mouse3,2,107,1
Mouse3,2,110,1
Mouse3,2,111,1
Mouse3,2,114,1
Mouse3,2,117,1
Mouse3,2,118,0
Mouse3,3,2,1
Mouse3,3,5,0
Mouse3,3,7,0
Mouse3,3,8,1
Mouse3,3,10,1
Mouse3,3,13,1
Mouse3,3,14,1
Mouse3,3,17,0
Mouse3,3,20,1
Mouse3,3,22,1
Mouse3,3,23,1
Mouse3,3,26,0
Mouse3,3,28,1
Mouse3,3,30,1
Mouse3,3,31,0
Mouse3,3,33,1
Mouse3,3,35,1
Mouse3,3,37,0
Mouse3,3,40,1
Mouse3,3,41,0
Mouse3,3,43,0
Mouse3,3,44,1
Mouse3,3,46,1
Mouse3,3,47,0
Mouse3,3,49,1
Mouse3,3,50,1
Mouse3,3,53,1
Mouse3,3,56,1
Mouse3,3,59,0
Mouse3,3,60,1
Mouse3,3,62,0
Mouse3,3,63,1
Mouse3,3,66,1
Mouse3,3,69,0
Mouse3,3,70,0
Mouse3,3,73,0
Mouse3,3,76,1
Mouse3,3,77,1
Mouse3,3,80,1
Mouse3,3,82,1
Mouse3,3,83,1
Mouse3,3,86,1
Mouse3,3,87,0
Mouse3,3,89,0
Mouse3,3,92,1
Mouse3,3,93,0
Mouse3,3,96,0
Mouse3,3,98,1
Mouse3,3,99,1
Mouse3,3,101,1
Mouse3,3,103,0
Mouse3,3,105,1
Mouse3,3,107,1
Mouse3,3,108,0
Mouse3,3,111,1
Mouse3,3,112,1
Mouse3,3,115,1
Mouse3,3,118,0
Mouse3,3,119,0
Mouse3,3,121,0
Mouse3,3,123,0
Mouse3,3,124,1
Mouse3,3,127,1
Mouse3,3,130,0
Mouse3,3,131,1
Mouse3,3,133,1
Mouse3,3,134,1
Mouse3,4,1,0
Mouse3,4,2,0
Mouse3,4,4,1
Mouse3,4,5,1
Mouse3,4,8,0
Mouse3,4,10,1
Mouse3,4,12,1
Mouse3,4,15,0
Mouse3,4,18,0
Mouse3,4,20,1
Mouse3,4,23,1
Mouse3,4,24,0
Mouse3,4,26,1
