mouse,session,trial,result
Mouse1,4,28,0
Mouse1,4,29,1
Mouse1,4,30,1
Mouse1,4,31,1
Mouse1,4,32,1
Mouse1,4,33,0
Mouse1,4,34,1
Mouse1,4,35,0
Mouse1,4,36,0
Mouse1,4,37,1
Mouse1,4,38,0
Mouse1,4,39,0
Mouse1,4,40,0
Mouse1,4,41,1
Mouse1,4,42,0
Mouse1,4,43,1
Mouse1,4,44,0
Mouse1,4,45,1
Mouse1,4,46,1
Mouse1,4,47,1
Mouse1,4,48,0
Mouse1,4,49,0
Mouse1,4,50,0
Mouse1,4,51,0
Mouse1,4,52,1
Mouse1,4,53,1
Mouse1,4,54,0
Mouse1,4,55,1
Mouse1,4,56,1
Mouse1,4,57,1
Mouse1,4,58,0
Mouse1,4,59,0
Mouse1,4,60,0
Mouse1,4,61,1
Mouse1,4,62,1
Mouse1,4,63,0
Mouse1,4,64,1
Mouse1,4,65,1
Mouse1,4,66,1
Mouse1,4,67,1
Mouse1,4,68,1
Mouse1,4,69,1
Mouse1,4,70,0
Mouse1,4,71,0
Mouse1,4,72,0
Mouse1,4,73,0
Mouse1,4,74,0
Mouse1,4,75,1
Mouse1,4,76,1
Mouse1,4,77,1
Mouse1,4,78,1
Mouse1,4,79,1
Mouse1,4,80,1
Mouse1,4,81,1
Mouse1,4,82,1
Mouse1,4,83,1
Mouse1,4,84,1
Mouse1,4,85,1
Mouse1,4,86,1
Mouse1,4,87,1
Mouse1,4,88,1
Mouse1,4,89,1
Mouse1,4,90,0
Mouse1,4,91,1
Mouse1,4,92,1
Mouse1,4,93,1
Mouse1,4,94,0
Mouse1,4,95,1
Mouse1,4,96,0
Mouse1,4,97,1
Mouse1,4,98,0
Mouse1,4,99,1
Mouse1,4,100,1
Mouse1,4,101,1
Mouse1,4,102,0
Mouse1,4,103,1
Mouse1,4,104,1
Mouse1,4,105,1
Mouse1,4,106,1
Mouse1,4,107,1
Mouse1,4,108,1
Mouse1,4,109,1
Mouse1,4,110,0
Mouse1,4,111,0
Mouse1,4,112,1
Mouse1,4,113,0
Mouse1,4,114,1
Mouse1,4,115,1
Mouse1,4,116,1
Mouse1,4,117,0
Mouse1,4,118,1
Mouse1,4,119,1
Mouse1,4,120,1
Mouse1,4,121,1
Mouse1,4,122,0
Mouse1,4,123,0
Mouse1,4,124,1
Mouse1,5,1,1
Mouse1,5,2,1
Mouse1,5,3,1
Mouse1,5,4,1
Mouse1,5,5,1
Mouse1,5,6,0
Mouse1,5,7,0
Mouse1,5,8,1
Mouse1,5,9,1
Mouse1,5,10,0
Mouse1,5,11,1
Mouse1,5,12,1
Mouse1,5,13,1
Mouse1,5,14,1
Mouse1,5,15,1
Mouse1,5,16,1
Mouse1,5,17,0
Mouse1,5,18,1
Mouse1,5,19,1
Mouse1,5,20,1
Mouse1,5,21,1
Mouse1,5,22,1
Mouse1,5,23,1
Mouse1,5,24,1
Mouse1,5,25,1
Mouse1,5,26,1
Mouse1,5,27,1
Mouse1,5,28,1
Mouse1,5,29,1
Mouse1,5,30,0
Mouse1,5,31,1
Mouse1,5,32,1
Mouse1,5,33,1
Mouse1,5,34,0
Mouse1,5,35,1
Mouse1,5,36,1
Mouse1,5,37,1
Mouse1,5,38,1
Mouse1,5,39,0
Mouse1,5,40,1
Mouse1,5,41,1
Mouse1,5,42,0
Mouse1,5,43,1
Mouse1,5,44,1
Mouse1,5,45,1
Mouse1,5,46,1
Mouse1,5,47,0
Mouse1,5,48,0
Mouse1,5,49,1
Mouse1,5,50,1
Mouse1,5,51,0
Mouse1,5,52,0
Mouse1,5,53,1
Mouse1,5,54,1
Mouse1,5,55,0
Mouse1,5,56,1
Mouse1,5,57,1
Mouse1,5,58,1
Mouse1,5,59,1
Mouse1,5,60,0
Mouse1,5,61,1
Mouse1,5,62,1
Mouse1,5,63,0
Mouse1,5,64,1
Mouse1,5,65,0
Mouse1,5,66,0
Mouse1,5,67,0
Mouse1,5,68,0
Mouse1,5,69,0
Mouse1,5,70,1
