Fig10,A,B,,,C,,,,,,D,,,,,,,,,E,,,,,F,,,,,G,,,,,,H,,,,,,I,,,,
,,,,,%Correct,,,,,,,%Correct,,,,,,,,Reversal num,,,,,Trials/reversal,,,,,Trials,,,,,,Actual Delay,,,,,,Trials,,,,
,Days for criteria,Days for criteria,,,,,day,,,,,Trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ave,44.99947186,52.49522243,54.27394443,,,,,,,,,,,,,,,,,,,,,,Ave,102.2857143,106.1428571,113.1428571,,,Ave,14.24743729,14.660207,14.13555286,,,Ave,0.563425493,0.57860187,0.648382509
,,,,,,Sem,2.337093697,1.880417129,1.575060264,,,,,,,,,,,,,,,,,,,,,,Sem,7.424907521,9.993875676,9.090624609,,,Sem,0.277901976,0.204599788,0.261415734,,,Sem,0.027706052,0.043864836,0.036536707
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,3,,,,,,,,,,1,2,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incorrect,WT1,129,96,108,,,,,,,,Incorrect,WT1,0.596899225,0.677083333,0.62037037
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT2,99,61,84,,,,,,,,,WT2,0.939393939,0.737704918,0.738095238
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT3,125,100,112,,,,,,,,,WT3,0.664,0.76,0.5625
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT4,114,121,89,,,,,,,,,WT4,0.815789474,0.867768595,0.876404494
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT5,99,114,107,,,,,,,,,WT5,0.808080808,0.763157895,0.803738318
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT6,124,109,122,,,,,,,,,WT6,0.629032258,0.633027523,0.704918033
