Fig7,,,,,,,,,,,,,,,,,,,,,,,,,
,A,,B,,,,,C,,D,,,,,,,,,,,,,,,
,,,,Sem,1.938458689,3.771166534,4.80807673,4.927796073,5.355708153,5.543369053,4.130188164,3.351389965,3.468379293,2.839535636,,0.487658563,0.485287606,0.42302537,0.356453355,0.391786714,0.364361539,0.080854062,0.413887334,0.516142461,0.393556122
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ｎ13-2g-36F,85.71428571,89.36170213,84.21052632,74.13793103,48.64864865,31.50684932,52.30769231,29.26829268,36.36363636,15.78947368,,6.028372,5.502255,6.775316,8.252712,11.1543,14.74559,19.56372,24.81461,31.09255,34.09542
,,,,N10-2g-42F,88.76404494,100,75,57.14285714,70.90909091,43.33333333,44.73684211,61.11111111,60.46511628,44.82758621,,5.302544,5.071229,6.493964,8.553268,10.04426,16.13137,21.56224,27.24613,29.99084,34.443056
,,,,N10-2g-43F,82.60869565,66.66666667,87.27272727,79.24528302,71.42857143,58.20895522,44.73684211,55.2238806,70.76923077,64.28571429,,6.391579,7.002302,7.523891,8.678143,10.60918,14.40896,18.57158,22.45697,27.99178,32.63991
,,,,N40-2g-21F,84.44444444,85.71428571,91.30434783,85.36585366,63.04347826,61.9047619,58.06451613,57.5,50,64.28571429,,6.892291,6.808354,8.113087,9.274209,13.541638,16.481929,20.914452,25.337415,30.368538,33.231714
,,,,N40-2g-22F,86.81318681,81.13207547,64.9122807,64.51612903,55.2238806,45.71428571,54.90196078,30,0,75,,5.259724,5.240058,6.951,9.219415,11.32319,15.8004,19.45571,24.0622,29.016,0
,,,,N40-2g-56F,86.66666667,75,69.56521739,70.21276596,66.03773585,58.49056604,57.14285714,53.7037037,46.42857143,51.42857143,,5.923184,6.3225,8.625783,9.7509,12.46885,16.88668,21.53938,25.04914,29.78193,35.68034
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Ave,85.83522071,82.97912166,78.71084992,71.77013664,62.54856762,49.85979192,51.9817851,47.80116468,44.00442581,52.60284332,,5.966282333,5.991116333,7.413840167,8.9547745,11.52356967,15.74248817,20.267847,24.82774417,29.70693967,28.39371233
,,,,Sem,0.867661211,4.729703674,4.281595838,4.144599378,3.687957141,4.781528617,2.430694832,5.835259399,10.03976039,8.547259399,,0.257154633,0.339089748,0.338524694,0.226311954,0.52176407,0.399275756,0.508036433,0.641980556,0.442079239,5.695615433
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
H,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,1,1,2,3,5,8,12,16,20,24,,,,,,,,,,,,,,
,N18-2g-25F,100,96,99,78,113,107,144,122,106,119,,,,,,,,,,,,,,
,N32-2g-15F,92,97,101,94,126,127,144,111,112,116,,,,,,,,,,,,,,
,N32-2g-17F,95,92,93,134,115,123,110,113,120,112,,,,,,,,,,,,,,
,N18-2g-34F,95,90,95,113,112,102,108,116,115,111,,,,,,,,,,,,,,
,N32-2g-21F,93,92,122,130,148,156,168,136,152,135,,,,,,,,,,,,,,
,N64-2g-4F,97,94,92,111,128,109,114,111,119,99,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,95.33333333,93.5,100.3333333,110,123.6666667,120.6666667,131.3333333,118.1666667,120.6666667,115.3333333,,,,,,,,,,,,,,
,Sem,1.173787791,1.087811258,4.558264777,8.690991505,5.601587077,8.093893446,9.942054337,3.944757421,6.601346664,4.821249262,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ｎ13-2g-36F,92,96,92,110,126,162,163,146,103,61,,,,,,,,,,,,,,
,N10-2g-42F,95,90,99,118,168,142,185,154,165,119,,,,,,,,,,,,,,
,N10-2g-43F,99,100,123,126,120,130,156,159,154,129,,,,,,,,,,,,,,
,N40-2g-21F,97,100,109,117,139,171,152,144,127,91,,,,,,,,,,,,,,
,N40-2g-22F,98,92,104,128,151,157,114,137,67,43,,,,,,,,,,,,,,
,N40-2g-56F,91,95,133,134,145,149,150,164,151,89,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Ave,95.33333333,95.5,110,122.1666667,141.5,151.8333333,153.3333333,150.6666667,127.8333333,88.66666667,,,,,,,,,,,,,,
,Sem,1.333333333,1.668332501,6.271629241,3.562926388,7.102816343,5.996758384,9.422196017,4.128491788,15.18862879,13.42054809,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Correct,,1,1,2,3,5,8,12,16,20,24,,,,,,,,,,,,,,
,N18-2g-25F,80,80,80,60,80,80,80,80,80,80,,,,,,,,,,,,,,
