A,,,,,,,,,,,,,,,,,,,,,,,,,B,,,,,D,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
normalized fEPSP amplitude (%),,,,,Wild ,,,,,,,,,,NLGF,,,,,,,,,,wt,,NLGF,,,paired pulse ratio (%),wild,NLGF
tetanic stimulation at 10 min,,,Time (min),,#1,#2,#3,#4,#5,#6,#7,#8,#9,,#1,#2,#3,#4,#5,#6,#7,#8,#9,,averaged fEPSP (%),cumulative probability,averaged fEPSP (%),cumulative probability,,,199.3134015,167.4367307
,,,16.5,,152.1483889,89.62331664,160.2112676,208.2233503,160.6518916,157.0692656,122.2781546,140.5980747,130.3515741,,130.5976024,127.4127014,100.8392266,155.671837,135.4853911,126.5096209,175.8385044,173.3074424,223.7534813,,,,,,,,,
,,,17,,153.6894107,98.50367575,160.0532683,215.8629442,167.2504085,151.5558649,122.5682188,143.2954726,125.6233744,,123.1348823,126.0799642,101.9984782,149.5888619,147.737983,125.6140087,177.9004006,176.9147466,212.4337436,,,,,,,,,
,,,17.5,,156.9640821,97.0691562,157.8096786,215.9813875,157.7485441,150.4072398,121.7302557,141.2951551,121.8462494,,133.1953847,122.9298582,103.9096768,154.1238398,136.4278982,125.5613256,180.374676,179.8946936,219.2727518,,,,,,,,,
,,,18,,154.9827683,98.57198621,155.4080896,211.1252115,151.1060371,150.1566307,125.5977777,140.1131493,120.8680012,,130.5976024,125.5196088,101.9984782,152.1179842,137.2761546,125.8949851,180.2647082,194.7944285,205.6890666,,,,,,,,,
,,,18.5,,156.8815274,106.359378,157.0512821,204.4331641,148.7745611,149.4674556,120.6989165,138.9917592,117.0637026,,121.1983536,123.5053584,101.6695014,152.1179842,139.5381715,124.9291287,175.2886655,194.5591695,197.2935945,,,,,,,,,
,,,19,,153.9645932,105.8128944,154.649693,196.0236887,154.3613055,152.8924469,123.5673286,140.355612,121.6560345,,126.0632914,120.6581471,103.0637365,149.3708341,143.5438266,121.3993628,171.9346477,186.1682662,203.0477944,,,,,,,,,
,,,19.5,,155.505615,104.5149958,158.1256771,201.4720812,151.5459382,151.4723286,119.7964947,140.3859198,123.2049275,,119.1201278,123.6870952,103.5963656,146.1658257,139.5852969,118.694965,184.1960569,169.3864595,214.1788698,,,,,,,,,
,,,20,,154.9552501,94.47335892,158.1888769,205.7360406,150.7541162,146.0215802,123.3739525,142.6287001,120.8408276,,122.9459526,123.7931084,101.4658491,144.8794618,138.9726673,119.432528,177.8729086,186.0114269,193.7090109,,,,,,,,,
,,,20.5,,153.1940823,94.13180665,152.3429036,184.0609137,151.5019481,144.6432301,122.9227416,140.931461,120.4875713,,130.5976024,122.7935556,103.2517232,145.1192923,141.6588124,120.2227741,172.0171236,191.1087046,185.5493666,,,,,,,,,
,,,21,,157.5970018,91.39938846,154.6180932,193.0626058,149.3464326,142.9307344,125.0176494,140.6586904,120.569092,,125.1186433,123.6870952,100.0246173,144.8794618,143.072573,115.832518,175.6185688,179.8162739,188.9924535,,,,,,,,,
,,,21.5,,158.8078047,81.83592479,158.3152763,182.9949239,156.6927814,145.7292029,117.2826054,143.9016294,116.6289256,,134.1872652,123.4750689,103.2203921,143.680309,140.0094251,117.974963,169.8177677,185.1488106,185.2663732,,,,,,,,,
,,,22,,156.05598,81.69930388,154.649693,187.7918782,157.3966232,138.816568,121.3435035,146.7808743,114.1017844,,129.3695598,124.5654902,100.1029451,142.9390145,139.6324222,115.9378841,168.1407588,175.6600321,184.2287306,,,,,,,,,
,,,22.5,,153.9921114,86.34441481,154.649693,184.5939086,157.9245046,138.9627567,121.02121,142.5074687,108.3138158,,133.2898495,115.4029222,101.7791603,146.0786146,141.9415646,119.414967,175.7285366,182.090444,181.4459617,,,,,,,,,
,,,23,,155.725761,88.73528072,154.0492958,167.5380711,157.5725837,136.3731291,109.2574972,136.930826,112.4713707,,130.786532,126.3374248,98.36406768,147.0597396,145.9000943,120.2052131,173.6666405,182.1688637,191.0205732,,,,,,,,,
,,,23.5,,156.05598,90.71628391,149.9097147,183.1133672,163.0713478,137.3546815,123.1161177,137.6279063,109.047502,,130.5976024,120.9156077,99.41366037,143.4622812,138.7841659,117.5710594,178.0653523,164.1323425,181.0214716,,,,,,,,,
,,,24,,153.8545202,97.88888166,147.0657277,193.6548223,154.8012066,132.8437174,120.5377697,131.9906479,110.3790065,,133.0536875,119.3556995,102.2491272,142.7427895,140.8105561,114.6559294,174.0240358,164.9165391,176.0219208,,,,,,,,,
,,,24.5,,154.0196297,99.59664303,140.3033586,184.534687,157.3966232,134.785938,123.9540808,132.4149576,105.5421126,,130.2669756,119.5374364,99.96195506,143.9201395,139.4910462,115.0071498,169.7077999,175.1895142,176.7294044,,,,,,,,,
,,,25,,152.946418,92.56066619,153.4804984,177.4873096,157.5285936,129.8155238,122.9872003,127.9900128,109.9442295,,116.9946695,122.9904372,102.0611405,142.3285367,137.0876532,114.6032463,169.1304689,156.4472161,169.135747,,,,,,,,,
,,,25.5,,149.6992649,94.2001171,151.0789094,177.9610829,146.2671247,127.0797076,122.7293655,127.2323168,109.7540146,,128.802771,121.5062526,101.9201504,142.1541145,137.0876532,113.3915356,172.7868981,160.6818776,172.8146618,,,,,,,,,
,,,26,,153.7444472,95.42970529,148.3297219,173.9932318,150.9300767,130.1079011,121.6335676,125.5956934,109.1561962,,132.1562718,116.99312,101.7478292,139.4069644,142.5070688,112.970071,167.2060325,167.1122895,175.0786093,,,,,,,,,
,,,26.5,,154.9277318,91.9458721,148.5825208,175.9475465,153.0416021,127.7897668,121.117898,127.5960109,108.6670721,,127.6691932,118.1289755,105.194253,136.3109699,142.2243167,105.4715135,173.4192129,158.0156092,170.2677208,,,,,,,,,
,,,27,,154.5149581,91.9458721,148.5193211,180.9813875,146.1791445,125.4298643,121.5046502,132.1118792,106.5203608,,129.1333978,119.2193968,100.9645511,134.6975643,130.8199811,106.1037104,172.0446155,158.1724486,179.2291798,,,,,,,,,
,,,27.5,,154.1021844,100.348058,149.9413146,160.3722504,148.0707193,125.2627915,127.0803278,134.0818889,106.4388401,,122.993185,122.1726212,102.5154418,140.0174422,134.4486334,105.8929781,177.7629409,158.7998058,170.1262241,,,,,,,,,
,,,28,,154.3498486,97.95719212,148.961719,169.4923858,147.1909171,121.7333797,122.1492372,135.203279,110.2703122,,128.5193765,118.5227387,101.3091934,135.220831,141.9415646,105.9632222,171.1923651,172.9937638,172.673165,,,,,,,,,
,,,28.5,,154.9827683,95.49801574,145.6753341,180.6260575,145.6512631,118.872259,122.8582829,130.8995656,109.5909732,,118.1282472,121.0670551,104.0193358,135.3734504,133.6475024,107.1398108,179.0000785,161.3092348,171.7770191,,,,,,,,,
,,,29,,154.8451771,102.1241299,148.5825208,182.8764805,145.2553521,124.3856596,123.5350993,129.6266363,111.6018167,,127.8581228,118.5378835,100.7139021,133.651031,135.6738926,106.6305411,175.563585,157.4666716,173.9466355,,,,,,,,,
,,,29.5,,154.1572209,101.099473,152.911701,161.4974619,155.3290879,122.1928298,123.3094938,135.2942025,117.4441325,,127.4330312,116.0844355,100.4789186,137.2048838,136.1451461,106.9466396,178.3952557,166.7986109,167.2019585,,,,,,,,,
,,,30,,155.615688,101.3044044,147.1921271,175.4737733,137.3371318,124.9912983,123.3094938,133.7181948,118.3952071,,132.9592227,118.9316467,102.828753,140.3444839,136.8520264,108.1759113,175.2061896,178.3263005,165.6926601,,,,,,,,,
,,,30.5,,155.1478778,96.52267257,148.8037198,149.6531303,133.6859525,126.2861121,123.8251634,132.7180361,116.9550083,,125.779897,115.1454616,102.2961239,138.66567,127.5683318,107.7720077,176.2783756,174.7189962,169.7017339,,,,,,,,,
,,,31,,153.1940823,99.39171166,145.5173348,164.9915398,133.2460514,123.132614,125.1465668,125.5956934,117.0908762,,127.9525877,115.6300933,103.0010742,140.0610478,134.9670123,108.4042046,174.9587621,169.3080399,175.5974306,,,,,,,,,
,,,31.5,,155.7807975,89.62331664,149.2145179,159.0693739,135.3135867,124.5736164,126.177906,123.7469151,117.5256531,,131.6839477,120.552134,102.4841106,138.9491061,135.862394,105.2080981,175.9759642,180.9141491,173.1919863,,,,,,,,,
,,,32,,154.9827683,90.03317936,145.7701336,167.5380711,143.7156982,127.4138531,123.9540808,122.9286034,119.7810587,,125.8271294,118.6438967,101.07421,141.5872423,136.0508954,90.35147136,175.8385044,182.7178013,172.5788339,,,,,,,,,
,,,32.5,,152.8363451,94.2001171,148.0137234,171.0321489,134.7417152,124.3438914,122.407072,117.655039,120.2973564,,127.2441016,120.143226,103.4240444,140.4098922,136.2393968,88.05097715,177.4605294,180.9141491,168.7584224,,,,,,,,,
,,,33,,155.8083158,100.2114371,142.3257494,166.7089679,140.7243705,128.9801601,123.4061819,123.7469151,120.5419185,,127.9053553,120.0372128,99.19434249,139.8866256,134.401508,88.08609919,177.7354489,179.2673363,157.3443536,,,,,,,,,
,,,33.5,,154.6800676,93.38039165,149.9097147,152.9103215,142.0000838,126.7037939,126.3068234,123.6559916,121.7103816,,130.9282292,118.9467915,99.60164712,141.0857784,142.0358153,84.39828404,180.0997565,167.4259681,165.26817,,,,,,,,,
,,,34,,156.4962719,94.74660074,145.896533,154.4500846,144.8594411,127.7479986,124.4697505,127.3535482,122.3081999,,137.3990688,117.0536989,101.3875213,141.0857784,139.2082941,79.20022077,182.7664755,170.2490758,171.5411913,,,,,,,,,
,,,34.5,,154.0746662,99.39171166,144.5061394,152.7326565,139.8005782,127.2050122,121.9880905,129.2629422,123.5038366,,120.5843323,122.5209502,103.0167398,143.1134367,143.2610745,83.9416974,179.9348048,168.4454237,165.0795077,,,,,,,,,
,,,35,,158.3675127,90.30642118,144.822138,145.3299492,143.3197872,126.9126349,125.1143375,134.0818889,122.3353735,,125.6381998,118.2501334,100.3535941,144.7050396,148.2563619,84.48608916,181.7767654,160.9955562,153.1466176,,,,,,,,,
,,,35.5,,152.8363451,91.39938846,145.5489346,149.7715736,140.2404793,123.4249913,124.4052918,134.3243516,121.6560345,,130.786532,118.7044756,101.324859,146.9071202,150.2827521,89.66659141,179.4399497,139.5085701,159.7969634,,,,,,,,,
,,,36,,155.7532793,91.39938846,142.8313471,157.1150592,131.3984666,127.2885486,127.46708,135.779128,123.0147125,,128.3776793,120.7338709,101.07421,143.1352395,155.9849199,88.78854018,182.491556,148.5268307,154.420088,,,,,,,,,
,,,36.5,,154.5149581,87.84724481,148.3929216,153.4433164,136.8532406,127.7479986,125.9200712,137.6582141,124.8896883,,118.6005713,117.4474622,101.4658491,144.2253784,146.9839774,92.10757382,188.5672767,136.9991411,153.3824454,,,,,,,,,
,,,37,,156.276126,83.27044434,145.8017335,150.0084602,136.7212703,128.5624782,129.5297584,138.446218,124.1831757,,133.2426171,117.8260807,101.0115478,145.8605868,148.539114,94.47831213,181.0344828,131.9802831,165.9756536,,,,,,,,,
,,,37.5,,157.2667829,85.72962071,145.1697364,146.0998308,141.8681135,129.7528716,125.1787962,143.6591667,122.4440678,,130.8337644,115.766396,102.8444186,147.5830063,147.8322337,90.70269185,180.3196921,123.2757011,153.2881143,,,,,,,,,
,,,38,,156.3311624,88.80359118,145.2013362,152.1404399,136.0614186,123.8844414,126.1456767,144.0834765,124.5092584,,130.3614404,115.2211853,101.6068391,149.872298,148.2563619,85.20609117,182.491556,134.0191941,148.4772258,,,,,,,,,
,,,38.5,,155.6707245,87.16414026,143.0841459,153.0287648,133.2900415,124.2394709,126.7580343,143.416704,122.0908115,,124.9769461,113.9793166,101.9671471,146.1440229,153.7700283,87.945611,177.9553845,130.6471489,155.7407241,,,,,,,,,
,,,39,,157.5694836,86.54934617,144.158541,140.9475465,124.4480288,131.5906718,126.7580343,147.1748762,122.552762,,,,99.60164712,150.0903258,146.5127238,85.57487268,178.1753201,124.8440943,154.6087503,,,,,,,,,
,,,39.5,,153.4417465,91.9458721,143.6213434,130.1099831,114.7262139,126.5784894,126.8869517,145.5382528,123.5853573,,,,100.6199087,148.9347785,146.936852,84.7319435,184.6909119,127.9808805,156.4010421,,,,,,,,,
,,,40,,156.4137172,92.56066619,142.5153485,129.6954315,114.1983326,124.7615733,126.7580343,144.0834765,122.8788447,,134.4706597,106.4978148,101.4031868,149.4362424,149.2459943,85.71536088,182.1066688,121.5504687,156.63687,,,,,,,,,
,,,40.5,,156.0284617,89.75993754,145.6437342,139.4670051,113.2305501,130.2749739,127.6282268,145.2048666,120.6777863,,,,100.4005908,147.2341618,153.4401508,82.15047289,185.7081141,111.5127525,156.1180487,,,,,,,,,
,,,41,,153.0014545,91.74094073,143.937342,135.2030457,117.497591,132.4678037,125.9523006,144.932096,122.6342827,,119.6396842,116.6902252,101.8888193,149.1092008,152.8746466,79.55144126,180.5396277,108.0622876,166.588806,,,,,,,,,
,,,41.5,,154.8726953,99.11846985,147.3185265,129.2808799,120.1809879,125.5551688,124.7598146,147.8113409,123.6397045,,119.7813814,111.8439082,100.322263,146.7763035,150.9425071,86.99731567,182.3266044,118.96262,165.7398257,,,,,,,,,
,,,42,,155.8908705,90.98952573,144.6957385,132.1235195,124.7559596,130.5882353,123.4061819,144.6290176,123.0690597,,129.6529543,120.5975682,100.9175544,150.5699869,152.3562677,79.09485462,181.7217815,120.8446917,171.4468601,,,,,,,,,
,,,42.5,,154.3773669,99.11846985,141.4725533,134.4331641,128.7150698,124.8242255,126.3390528,146.0534861,120.0256208,,131.4950181,116.4933435,101.2935279,147.1687535,156.5504241,80.81583503,182.9864111,111.1990739,161.1175995,,,,,,,,,
,,,43,,155.615688,92.56066619,143.6213434,136.2690355,130.1227534,121.8169161,126.9514104,147.2657998,119.4821496,,130.0780459,113.7067113,102.9227464,148.9347785,153.1573987,77.70753368,184.7184039,114.0221816,163.381547,,,,,,,,,
,,,43.5,,153.5243012,97.82057121,143.2421452,137.2758037,132.71817,118.6216498,126.4357408,150.0541211,118.3952071,,131.5422505,114.1004745,102.327455,145.2283062,147.596607,78.97192745,176.5258032,120.7662721,165.5039978,,,,,,,,,
,,,44,,152.7813086,97.75226075,140.8405562,145.9221658,129.5508819,120.4176819,128.111667,150.6299701,118.8843312,,,,103.2047265,146.5800785,145.9000943,75.91630917,177.0756421,118.5705217,160.6931093,,,,,,,,,
,,,44.5,,155.0653231,89.75993754,145.1381365,137.6903553,130.0787632,123.2370345,130.5610976,149.5995035,118.9386783,,,,103.4083788,147.3431757,147.2667295,75.33679536,186.4229047,121.0799507,161.6835864,,,,,,,,,
,,,45,,154.8176589,98.16212348,145.0433369,144.2639594,133.4660019,120.668291,124.8565027,147.1445684,121.003869,,,,101.0585444,143.7021118,147.1724788,74.61679336,188.1274055,125.5498712,157.9103405,,,,,,,,,
,,,45.5,,153.9095567,95.70294711,137.4593716,142.4873096,136.1054087,119.1437522,133.4939685,149.5995035,116.8463141,,127.0079395,110.162842,100.9488855,138.6874727,149.1046183,69.89287775,189.5844788,123.981478,160.7402749,,,,,,,,,
,,,46,,155.4505785,97.13746666,143.273745,154.8646362,130.1667435,120.7935955,127.5959974,146.5384116,118.775637,,,,102.4997762,130.4896281,146.0414703,71.84215148,185.7905899,115.8258337,155.3162339,,,,,,,,,
,,,46.5,,153.1115275,95.70294711,138.4389671,151.5482234,133.7299426,119.5405499,130.2065748,151.8422838,117.8517359,,,,103.0480709,130.5768392,146.8897267,74.66947643,182.3266044,109.0033235,160.2214536,,,,,,,,,
,,,47,,155.945907,93.99518574,140.9985554,160.786802,130.1667435,122.234598,133.7840327,147.993188,126.3842342,,130.55037,114.2367772,101.6225047,123.9269918,149.1517436,69.47141316,176.8831985,103.2786885,155.4577307,,,,,,,,,
,,,47.5,,155.7532793,96.52267257,143.052546,156.9373942,134.6977251,120.8562478,134.0740968,144.1440921,122.8244976,,137.7296957,114.8274221,100.6355743,124.1232168,146.4655985,71.47336996,183.9761213,126.3340677,152.6277962,,,,,,,,,
,,,48,,158.1473668,94.60997983,143.1789455,146.5143824,135.3135867,117.6818656,127.9827496,144.5684019,120.8408276,,121.7651425,116.6447909,101.6068391,124.6900891,151.9321395,66.16994054,182.3266044,134.0191941,165.5039978,,,,,,,,,
,,,48.5,,154.6800676,104.5149958,140.6193572,155.9306261,133.5539822,114.6954403,129.1107769,145.9928704,117.1723968,,129.7001867,112.0256451,102.938412,127.2628169,148.6333648,67.24116304,184.141073,126.5693267,157.9575061,,,,,,,,,
,,,49,,156.3036442,95.83956802,139.8925605,160.5499154,136.9852109,113.066481,132.4626293,149.4479643,119.699538,,127.0551719,116.1450145,104.1289947,128.6799975,146.4184731,63.13188329,184.9933234,126.8045857,150.7411733,,,,,,,,,
,,,49.5,,154.6800676,98.16212348,143.052546,153.5025381,133.6859525,112.6905674,133.1072163,147.7204174,118.0419508,,133.3370819,113.9490271,100.2752663,131.579767,146.2299717,62.14846592,175.0412379,128.8434968,151.7316503,,,,,,,,,
,,,50,,155.945907,99.66495348,139.9873601,166.6497462,135.049646,116.9300383,131.7213542,144.6290176,119.889753,,136.83228,118.159265,99.67997494,133.9562699,143.4495759,62.42944231,187.6050585,138.2538556,149.0432126,,,,,,,,,
