Fig6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,,,,B,,,,C,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,day,,,,,,,delay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Correct%,,1,2,3,4,,Correct%,,1,2,3,5,8,12,16,20,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,7 goki 190622,63.076923,48,53.225806,52.941176,46.666667,57.142857,50,48.717949,54.761905,,,,7 goki 190622,7.584906,7.346667,8.241935,10.970588,15.016667,19.469388,25.208333,30.538462,33.738095,
,,,,,,,,,,,,,,,,,Ave,80.10365533,63.251462,66.621487,55.436657,54.19703133,60.193864,54.60377367,57.21153867,52.962361,,,,Ave,7.140257333,7.837973,8.44339,11.568092,14.955173,19.54262867,24.68302933,29.55944767,33.86196333,
,,,,,,,,,,,,,,,,,Sem,8.550727844,7.756458461,8.489000235,3.15426634,4.294156633,4.521102626,7.798549479,5.203605702,2.855636658,,,,Sem,0.22507758,0.475835262,0.329899955,0.526157075,0.28217425,0.48278207,0.687053515,0.605593795,0.987873748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,10goki 190522,56.363636,57.142857,47.727273,45.454545,39.393939,45.652174,53.846154,41.818182,56,,,,10goki 190522,7.333333,8.261905,9.886364,11.681818,16.30303,20.369565,25.192308,29.763636,34.7,
,,,,,,,,,,,,,,,,,6goki 190603,85.964912,41.666667,43.939394,46.875,40.350877,43.661972,51.923077,33.333333,34.146341,,,,6goki 190603,8.377778,8.75,9.560606,12.578125,15.140351,19.140845,22.057692,26.768116,32.609756,
,,,,,,,,,,,,,,,,,9 goki 190603,86.206897,56.25,56.140351,45.16129,47.368421,65.116279,50,30.769231,30.769231,,,,9 goki 190603,4.946429,8.145833,9.22807,12.048387,17.078947,20.651163,25.868421,32.423077,37.538462,
,,,,,,,,,,,,,,,,,Ave,76.17848167,51.686508,49.269006,45.83027833,42.371079,51.47680833,51.923077,35.30691533,40.30519067,,,,Ave,6.885846667,8.385912667,9.558346667,12.10277667,16.17410933,20.05385767,24.372807,29.65160967,34.949406,
,,,,,,,,,,,,,,,,,Sem,9.907669097,5.016546244,3.605483944,0.529176135,2.513894912,6.843892558,1.110289024,3.338717317,7.907728245,,,,Sem,1.015500206,0.185101654,0.190036467,0.260166765,0.56332466,0.463687558,1.173896687,1.633407318,1.428249304,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
